id,code,region_code,full_name,level,name
91642,253400,250000,KAB. DOGIYAI,2,DOGIYAI
91407,253300,250000,KAB. PUNCAK,2,PUNCAK
91146,253200,250000,KAB. YALIMO,2,YALIMO
91081,253100,250000,KAB. MEMBRAMO TENGAH,2,MEMBRAMO TENGAH
90898,253000,250000,KAB. LANNY JAYA,2,LANNY JAYA
90643,252900,250000,KAB. NDUGA,2,NDUGA
90569,252800,250000,KAB. MEMBERAMO RAYA,2,MEMBERAMO RAYA
90525,252700,250000,KAB. SUPIORI,2,SUPIORI
90464,252600,250000,KAB. WAROPEN,2,WAROPEN
90346,252000,250000,KAB. KEEROM,2,KEEROM
90238,251900,250000,KAB. SARMI,2,SARMI
89641,251800,250000,KAB. TOLIKARA,2,TOLIKARA
89370,251700,250000,KAB. PEGUNUNGAN BINTANG,2,PEGUNUNGAN BINTANG
88814,251600,250000,KAB. YAHUKIMO,2,YAHUKIMO
88743,016100,010000,KOTA JAKARTA UTARA,2,JAKARTA UTARA
88722,016000,010000,KOTA JAKARTA PUSAT,2,JAKARTA PUSAT
88721,246000,240000,KOTA KUPANG,2,KUPANG
88703,236100,230000,KOTA BIMA,2,BIMA
88702,236000,230000,KOTA MATARAM,2,MATARAM
88700,226000,220000,KOTA DENPASAR,2,DENPASAR
88699,216100,210000,KOTA TUAL,2,TUAL
88698,216000,210000,KOTA AMBON,2,AMBON
88695,206100,200000,KOTA BAUBAU,2,BAUBAU
88694,206000,200000,KOTA KENDARI,2,KENDARI
88688,196200,190000,KOTA PALOPO,2,PALOPO
88687,196100,190000,KOTA PAREPARE,2,PAREPARE
88686,196000,190000,KOTA MAKASSAR,2,MAKASSAR
88685,186000,180000,KOTA PALU,2,PALU
88673,176300,170000,KOTA KOTAMOBAGU,2,KOTAMOBAGU
88672,176200,170000,KOTA TOMOHON,2,TOMOHON
88671,176100,170000,KOTA BITUNG,2,BITUNG
88670,176000,170000,KOTA MANADO,2,MANADO
88665,166300,160000,KOTA BONTANG,2,BONTANG
88664,166100,160000,KOTA BALIKPAPAN,2,BALIKPAPAN
88663,166000,160000,KOTA SAMARINDA,2,SAMARINDA
88656,156100,150000,KOTA BANJARBARU,2,BANJARBARU
88655,156000,150000,KOTA BANJARMASIN,2,BANJARMASIN
88647,146000,140000,KOTA PALANGKA RAYA,2,PALANGKA RAYA
88640,136100,130000,KOTA SINGKAWANG,2,SINGKAWANG
88639,136000,130000,KOTA PONTIANAK,2,PONTIANAK
88638,126100,120000,KOTA METRO,2,METRO
88633,126000,120000,KOTA BANDAR LAMPUNG,2,BANDAR LAMPUNG
88598,116300,110000,KOTA PAGAR ALAM,2,PAGAR ALAM
88597,116200,110000,KOTA LUBUK LINGGAU,2,LUBUK LINGGAU
88596,116100,110000,KOTA PRABUMULIH,2,PRABUMULIH
88595,116000,110000,KOTA PALEMBANG,2,PALEMBANG
88561,106100,100000,KOTA SUNGAI PENUH,2,SUNGAI PENUH
88560,106000,100000,KOTA JAMBI,2,JAMBI
88554,096200,090000,KOTA DUMAI,2,DUMAI
88551,096000,090000,KOTA PEKANBARU,2,PEKANBARU
88537,086600,080000,KOTA PARIAMAN,2,PARIAMAN
88536,086500,080000,KOTA PAYAKUMBUH,2,PAYAKUMBUH
88535,086400,080000,KOTA SOLOK,2,SOLOK
88534,086300,080000,KOTA SAWAH LUNTO,2,SAWAH LUNTO
88533,086200,080000,KOTA PADANG PANJANG,2,PADANG PANJANG
88532,086100,080000,KOTA PADANG,2,PADANG
88531,086000,080000,KOTA BUKITTINGGI,2,BUKITTINGGI
88530,076700,070000,KOTA GUNUNGSITOLI,2,GUNUNGSITOLI
88529,076600,070000,KOTA PADANG SIDIMPUAN,2,PADANG SIDIMPUAN
88527,076500,070000,KOTA SIBOLGA,2,SIBOLGA
88526,076400,070000,KOTA TANJUNG BALAI,2,TANJUNG BALAI
88525,076300,070000,KOTA PEMATANGSIANTAR,2,PEMATANGSIANTAR
88524,076200,070000,KOTA TEBING TINGGI,2,TEBING TINGGI
88523,076100,070000,KOTA BINJAI,2,BINJAI
88517,076000,070000,KOTA MEDAN,2,MEDAN
88503,066400,060000,KOTA SUBULUSSALAM,2,SUBULUSSALAM
88502,066300,060000,KOTA LANGSA,2,LANGSA
88501,066200,060000,KOTA LHOKSEUMAWE,2,LHOKSEUMAWE
88499,066100,060000,KOTA BANDA ACEH,2,BANDA ACEH
88498,066000,060000,KOTA SABANG,2,SABANG
88484,056800,050000,KOTA BATU,2,BATU
88483,056700,050000,KOTA PROBOLINGGO,2,PROBOLINGGO
88482,056600,050000,KOTA PASURUAN,2,PASURUAN
88481,056500,050000,KOTA BLITAR,2,BLITAR
88480,056400,050000,KOTA MOJOKERTO,2,MOJOKERTO
88479,056300,050000,KOTA KEDIRI,2,KEDIRI
88478,056200,050000,KOTA MADIUN,2,MADIUN
88476,056100,050000,KOTA MALANG,2,MALANG
88475,056000,050000,KOTA SURABAYA,2,SURABAYA
88468,046000,040000,KOTA YOGYAKARTA,2,YOGYAKARTA
88467,036500,030000,KOTA TEGAL,2,TEGAL
88466,036400,030000,KOTA PEKALONGAN,2,PEKALONGAN
88465,036300,030000,KOTA SEMARANG,2,SEMARANG
88464,036200,030000,KOTA SALATIGA,2,SALATIGA
88463,036100,030000,KOTA SURAKARTA,2,SURAKARTA
88462,036000,030000,KOTA MAGELANG,2,MAGELANG
