id,code,region_code,full_name,level,name
7,253402,253400,KEC. MAPIA BARAT,3,MAPIA BARAT
12,253403,253400,KEC. MAPIA,3,MAPIA
20,253404,253400,KEC. DOGIYAI,3,DOGIYAI
30,253405,253400,KEC. KAMU SELATAN,3,KAMU SELATAN
43,253406,253400,KEC. KAMU,3,KAMU
52,253407,253400,KEC. MAPIA TENGAH,3,MAPIA TENGAH
63,253408,253400,KEC. KAMU TMUR,3,KAMU TMUR
71,253409,253400,KEC. KAMU UTARA,3,KAMU UTARA
82,253410,253400,KEC. SUKIKAI SELATAN,3,SUKIKAI SELATAN
88,253501,253500,KEC. TIGI,3,TIGI
96,253502,253500,KEC. TIGI BARAT,3,TIGI BARAT
110,253503,253500,KEC. TIGI TIMUR,3,TIGI TIMUR
118,253504,253500,KEC. BOWOBADO,3,BOWOBADO
122,253505,253500,KEC. KAPIRAYA,3,KAPIRAYA
125,253601,253600,KEC. SUGAPA,3,SUGAPA
143,253602,253600,KEC. HITADIPA,3,HITADIPA
150,253603,253600,KEC. HOMEYO,3,HOMEYO
168,253604,253600,KEC. BIANDOGA,3,BIANDOGA
185,253605,253600,KEC. WANDAI,3,WANDAI
191,253606,253600,KEC. AGISIGA,3,AGISIGA
203,253697,253600,KEC. UGIMBA,3,UGIMBA
210,253698,253600,KEC. TOMOSIGA,3,TOMOSIGA
220,256001,256000,KEC. MUARA TAMI,3,MUARA TAMI
229,256002,256000,KEC. ABEPURA,3,ABEPURA
240,256003,256000,KEC. JAYAPURA SELATAN,3,JAYAPURA SELATAN
248,256004,256000,KEC. JAYAPURA UTARA,3,JAYAPURA UTARA
257,256005,256000,KEC. HERAM,3,HERAM
263,256090,256000,KEC. KOTARAJA,3,KOTARAJA
266,260101,260100,KEC. ENGGANO,3,ENGGANO
273,260105,260100,KEC. KERKAP,3,KERKAP
292,260106,260100,KEC. ARGA MAKMUR,3,ARGA MAKMUR
309,260107,260100,KEC. LAIS,3,LAIS
323,260108,260100,KEC. PADANG JAYA,3,PADANG JAYA
336,260109,260100,KEC. KETAHUN,3,KETAHUN
362,260110,260100,KEC. PUTRI HIJAU,3,PUTRI HIJAU
382,260117,260100,KEC. AIR NAPAL,3,AIR NAPAL
395,260118,260100,KEC. AIR BESI,3,AIR BESI
410,260119,260100,KEC. BATIK NAU,3,BATIK NAU
426,260120,260100,KEC. GIRI MULIA,3,GIRI MULIA
433,260121,260100,KEC. NAPAL PUTIH,3,NAPAL PUTIH
444,260122,260100,KEC. HULU PALIK,3,HULU PALIK
459,260123,260100,KEC. AIR PADANG,3,AIR PADANG
470,260124,260100,KEC. ARMA JAYA,3,ARMA JAYA
483,260125,260100,KEC. TANJUNGAGUNG PALIK,3,TANJUNGAGUNG PALIK
494,260126,260100,KEC. ULOK KUPAI,3,ULOK KUPAI
507,260127,260100,KECAMATAN MARGA SAKTI SEBELAT,3,KECAMATAN MARGA SAKTI SEBELAT
518,260128,260100,KECAMATAN PINANG RAYA,3,KECAMATAN PINANG RAYA
530,260202,260200,KEC. KOTA PADANG,3,KOTA PADANG
539,260203,260200,KEC. PADANG ULANG TANDING,3,PADANG ULANG TANDING
555,260204,260200,KEC. CURUP,3,CURUP
565,260210,260200,KEC. SINDANG KELINGI,3,SINDANG KELINGI
578,260211,260200,KEC. BERMANI ULU,3,BERMANI ULU
591,260212,260200,KEC. SELUPU REJANG,3,SELUPU REJANG
607,260217,260200,KEC. SINDANG BELITI ILIR,3,SINDANG BELITI ILIR
618,260218,260200,KEC. BINDU RIANG,3,BINDU RIANG
623,260219,260200,KEC. SINDANG BELITI ULU,3,SINDANG BELITI ULU
633,260220,260200,KEC. SINDANG DATARAN,3,SINDANG DATARAN
640,260221,260200,KEC. CURUP SELATAN,3,CURUP SELATAN
652,260222,260200,KEC. CURUP TENGAH,3,CURUP TENGAH
663,260223,260200,KEC. BERMANI ULU RAYA,3,BERMANI ULU RAYA
674,260224,260200,KEC. CURUP UTARA,3,CURUP UTARA
688,260225,260200,KEC. CURUP TIMUR,3,CURUP TIMUR
699,260304,260300,KEC. MANNA,3,MANNA
717,260305,260300,KEC. SEGINIM,3,SEGINIM
738,260306,260300,KEC. PINO,3,PINO
754,260314,260300,KEC. KOTA MANNA,3,KOTA MANNA
765,260315,260300,KEC. PINORAYA,3,PINORAYA
789,260318,260300,KEC. KEDURANG,3,KEDURANG
809,260319,260300,KEC. BUNGA MAS,3,BUNGA MAS
819,260320,260300,KEC. PASAR MANNA,3,PASAR MANNA
829,260321,260300,KEC. KEDURANG ILIR,3,KEDURANG ILIR
842,260322,260300,KEC. AIR NIPIS,3,AIR NIPIS
853,260323,260300,KEC. ULU MANNA,3,ULU MANNA
865,260401,260400,KEC. MUKO-MUKO SELATAN,3,MUKO-MUKO SELATAN
866,260402,260400,KEC. TERAS TERUNJAM,3,TERAS TERUNJAM
875,260403,260400,KEC. KOTA MUKOMUKO,3,KOTA MUKOMUKO
885,260404,260400,KEC. PONDOK SUGUH,3,PONDOK SUGUH
897,260405,260400,KEC. LUBUK PINANG,3,LUBUK PINANG
905,260406,260400,KEC. AIR RAMI,3,AIR RAMI
918,260407,260400,KEC. MALIN DEMAN,3,MALIN DEMAN
927,260408,260400,KEC. SUNGAI RUMBAI,3,SUNGAI RUMBAI
937,260409,260400,KEC. TERAMANG JAYA,3,TERAMANG JAYA
951,260410,260400,KEC. PENARIK,3,PENARIK
965,260411,260400,KEC. SELAGAN RAYA,3,SELAGAN RAYA
978,260412,260400,KEC. AIR DIKIT,3,AIR DIKIT
986,260413,260400,KEC. XIV KOTO,3,XIV KOTO
995,260414,260400,KEC. AIR MANJUNTO,3,AIR MANJUNTO
1003,260415,260400,KEC. V KOTO,3,V KOTO
1014,260491,260400,KEC. IPUH,3,IPUH
1030,260501,260500,KEC. KEPAHIANG,3,KEPAHIANG
1055,260502,260500,KEC. BERMANI ILIR,3,BERMANI ILIR
1074,260503,260500,KEC. TEBAT KARAI,3,TEBAT KARAI
1089,260504,260500,KEC. UJAN MAS,3,UJAN MAS
1107,260505,260500,KEC. MUARA KEMUMU,3,MUARA KEMUMU
1119,260506,260500,KEC. SEBERANG MUSI,3,SEBERANG MUSI
1133,260507,260500,KEC. KABA WETAN,3,KABA WETAN
1150,260508,260500,KEC. MERIGI,3,MERIGI
1160,260601,260600,KEC. LEBONG SELATAN,3,LEBONG SELATAN
1171,260602,260600,KEC. LEBONG UTARA,3,LEBONG UTARA
1190,260603,260600,KEC. RIMBO PEGADANG,3,RIMBO PEGADANG
1200,260604,260600,KEC. LEBONG TENGAH,3,LEBONG TENGAH
1212,260605,260600,KEC. LEBONG ATAS,3,LEBONG ATAS
1220,260607,260600,KEC. TOPOS,3,TOPOS
1230,260608,260600,KEC. BINGIN KUNING,3,BINGIN KUNING
1240,260609,260600,KEC. LEBONG SAKTI,3,LEBONG SAKTI
1250,260610,260600,KEC. PELABAI,3,PELABAI
1258,260611,260600,KEC. AMEN,3,AMEN
1270,260612,260600,KEC. URAM JAYA,3,URAM JAYA
1276,260613,260600,KEC. PINANG BELAPIS,3,PINANG BELAPIS
1286,260614,260600,KEC. PADANG BANO,3,PADANG BANO
1291,260701,260700,KEC. KAUR SELATAN,3,KAUR SELATAN
1311,260702,260700,KEC. KAUR TENGAH,3,KAUR TENGAH
1323,260703,260700,KEC. KAUR UTARA,3,KAUR UTARA
1336,260704,260700,KEC. MAJE,3,MAJE
1356,260705,260700,KEC. NASAL,3,NASAL
1374,260706,260700,KEC. KINAL,3,KINAL
1389,260707,260700,KEC. TANJUNG KEMUNING,3,TANJUNG KEMUNING
1410,260708,260700,KEC.TETAP,3,KEC.TETAP
1423,260709,260700,KEC. LUAS,3,LUAS
1434,260710,260700,KEC. MUARA SAHUNG,3,MUARA SAHUNG
1442,260711,260700,KEC. SEMIDANG GUMAY,3,SEMIDANG GUMAY
1456,260712,260700,KEC. KELAM TENGAH,3,KELAM TENGAH
1470,260713,260700,KEC. PADANG GUCI HILIR,3,PADANG GUCI HILIR
1480,260714,260700,KEC. PADANG GUCI HULU,3,PADANG GUCI HULU
1492,260715,260700,KEC. LUNGKANG KULE,3,LUNGKANG KULE
1503,260801,260800,KEC. TALO,3,TALO
1520,260802,260800,KEC. SELUMA,3,SELUMA
1528,260803,260800,KEC. SUKARAJA,3,SUKARAJA
1550,260804,260800,KEC. SEMIDANG ALAS MARAS,3,SEMIDANG ALAS MARAS
1576,260805,260800,KEC. SEMIDANG ALAS,3,SEMIDANG ALAS
1601,260806,260800,KEC. ILIR TALO,3,ILIR TALO
1617,260807,260800,KEC. TALO KECIL,3,TALO KECIL
1629,260808,260800,KEC. ULU TALO,3,ULU TALO
1643,260809,260800,KEC. SELUMA SELATAN,3,SELUMA SELATAN
1656,260810,260800,KEC. SELUMA BARAT,3,SELUMA BARAT
1666,260811,260800,KEC. SELUMA TIMUR,3,SELUMA TIMUR
1674,260812,260800,KEC. SELUMA UTARA,3,SELUMA UTARA
1685,260813,260800,KEC. AIR PERIUKAN,3,AIR PERIUKAN
1702,260814,260800,KEC. LUBUK SANDI,3,LUBUK SANDI
1718,260901,260900,KEC. TALANG EMPAT,3,TALANG EMPAT
1734,260902,260900,KEC. KARANG TINGGI,3,KARANG TINGGI
1753,260903,260900,KEC. TABA PENANJUNG,3,TABA PENANJUNG
1767,260904,260900,KEC. PAGAR JATI,3,PAGAR JATI
1782,260905,260900,KEC. PONDOK KELAPA,3,PONDOK KELAPA
1800,260906,260900,KEC. PEMATANG TIGA,3,PEMATANG TIGA
1813,260907,260900,KEC. MERIGI KELINDANG,3,MERIGI KELINDANG
1829,260908,260900,KEC. MERIGI SAKTI,3,MERIGI SAKTI
1845,260909,260900,KEC. PONDOK KUBANG,3,PONDOK KUBANG
1859,260910,260900,KEC. BANG HAJI,3,BANG HAJI
1872,266001,266000,KEC. SELEBAR,3,SELEBAR
1879,266002,266000,KEC. GADING CEMPAKA,3,GADING CEMPAKA
1885,266003,266000,KEC. TELUK SEGARA,3,TELUK SEGARA
1899,266004,266000,KEC. MUARA BANGKAHULU,3,MUARA BANGKAHULU
1907,266005,266000,KEC. KAMPUNG MELAYU,3,KAMPUNG MELAYU
1914,266006,266000,KEC. RATU AGUNG,3,RATU AGUNG
1923,266007,266000,KEC. RATU SAMBAN,3,RATU SAMBAN
1933,266008,266000,KEC. SUNGAI SERUT,3,SUNGAI SERUT
1941,266009,266000,KEC. SINGARAN PATI,3,SINGARAN PATI
1950,270101,270100,KEC. TALIABU BARAT,3,TALIABU BARAT
1964,270102,270100,KEC. TALIABU BARAT LAUT,3,TALIABU BARAT LAUT
1970,270103,270100,KEC. LEDE,3,LEDE
1976,270104,270100,KEC. TALIABU UTARA,3,TALIABU UTARA
1995,270105,270100,KEC. TALIABU TIMUR,3,TALIABU TIMUR
2000,270106,270100,KEC. TALIABU TIMUR SELATAN,3,TALIABU TIMUR SELATAN
2010,270107,270100,KEC. TALIABU SELATAN,3,TALIABU SELATAN
2020,270108,270100,KEC. TABONA,3,TABONA
2029,270203,270200,KEC. WEDA,3,WEDA
2037,270204,270200,KEC. PULAU GEBE,3,PULAU GEBE
2041,270206,270200,KEC. PATANI,3,PATANI
2047,270207,270200,KEC. WEDA UTARA,3,WEDA UTARA
2057,270208,270200,KEC. WEDA SELATAN,3,WEDA SELATAN
2066,270209,270200,KEC. PATANI UTARA,3,PATANI UTARA
2079,270210,270200,KEC. WEDA TENGAH,3,WEDA TENGAH
2089,270211,270200,KEC. PATANI BARAT,3,PATANI BARAT
2095,270212,270200,KEC. WEDA TIMUR,3,WEDA TIMUR
2102,270213,270200,KEC. PATANI TIMUR,3,PATANI TIMUR
2111,270302,270300,KEC. SAHU,3,SAHU
2147,270304,270300,KEC. LOLODA,3,LOLODA
2172,270305,270300,KEC. JAILOLO SELATAN,3,JAILOLO SELATAN
2195,270306,270300,KEC. JAILOLO,3,JAILOLO
2230,270307,270300,KEC. SAHU TIMUR,3,SAHU TIMUR
2250,270308,270300,KEC. IBU SELATAN,3,IBU SELATAN
2265,270309,270300,KEC. IBU UTARA,3,IBU UTARA
2279,270310,270300,KEC. JAILOLO TIMUR,3,JAILOLO TIMUR
2282,270311,270300,KEC. TABARU,3,TABARU
2299,270401,270400,KEC. TOBELO,3,TOBELO
2310,270402,270400,KEC. TOBELO SELATAN,3,TOBELO SELATAN
2324,270403,270400,KEC. KAO,3,KAO
2339,270404,270400,KEC. GALELA,3,GALELA
2347,270408,270400,KEC. LOLODA UTARA,3,LOLODA UTARA
2366,270409,270400,KEC. MALIFUT,3,MALIFUT
2389,270410,270400,KEC. TOBELO UTARA,3,TOBELO UTARA
2400,270411,270400,KEC. TOBELO TENGAH,3,TOBELO TENGAH
2410,270412,270400,KEC. TOBELO TIMUR,3,TOBELO TIMUR
2417,270413,270400,KEC. TOBELO BARAT,3,TOBELO BARAT
2424,270414,270400,KEC. GALELA BARAT,3,GALELA BARAT
2434,270415,270400,KEC. GALELA SELATAN,3,GALELA SELATAN
2442,270416,270400,KEC. GALELA UTARA,3,GALELA UTARA
