id,code,region_code,full_name,level,name
85974,250000,000000,PROV. PAPUA,1,PAPUA
82369,240000,000000,PROV. NUSA TENGGARA TIMUR,1,NUSA TENGGARA TIMUR
81084,230000,000000,PROV. NUSA TENGGARA BARAT,1,NUSA TENGGARA BARAT
80302,220000,000000,PROV. BALI,1,BALI
78762,210000,000000,PROV. MALUKU,1,MALUKU
75851,200000,000000,PROV. SULAWESI TENGGARA,1,SULAWESI TENGGARA
72408,190000,000000,PROV. SULAWESI SELATAN,1,SULAWESI SELATAN
70219,180000,000000,PROV. SULAWESI TENGAH,1,SULAWESI TENGAH
68179,170000,000000,PROV. SULAWESI UTARA,1,SULAWESI UTARA
67037,160000,000000,PROV. KALIMANTAN TIMUR,1,KALIMANTAN TIMUR
64841,150000,000000,PROV. KALIMANTAN SELATAN,1,KALIMANTAN SELATAN
63110,140000,000000,PROV. KALIMANTAN TENGAH,1,KALIMANTAN TENGAH
60808,130000,000000,PROV. KALIMANTAN BARAT,1,KALIMANTAN BARAT
57926,120000,000000,PROV. LAMPUNG,1,LAMPUNG
54408,110000,000000,PROV. SUMATERA SELATAN,1,SUMATERA SELATAN
52678,100000,000000,PROV. JAMBI,1,JAMBI
50613,090000,000000,PROV. RIAU,1,RIAU
49281,080000,000000,PROV. SUMATERA BARAT,1,SUMATERA BARAT
42587,070000,000000,PROV. SUMATERA UTARA,1,SUMATERA UTARA
35769,060000,000000,PROV. ACEH,1,ACEH
26531,050000,000000,PROV. JAWA TIMUR,1,JAWA TIMUR
26010,040000,000000,PROV. D.I. YOGYAKARTA,1,D.I. YOGYAKARTA
16822,030000,000000,PROV. JAWA TENGAH,1,JAWA TENGAH
10202,020000,000000,PROV. JAWA BARAT,1,JAWA BARAT
9958,010000,000000,PROV. DKI JAKARTA,1,DKI JAKARTA
9418,340000,000000,PROV. KALIMANTAN UTARA,1,KALIMANTAN UTARA
8682,330000,000000,PROV. SULAWESI BARAT,1,SULAWESI BARAT
6753,320000,000000,PROV. PAPUA BARAT,1,PAPUA BARAT
6238,310000,000000,PROV. KEPULAUAN RIAU,1,KEPULAUAN RIAU
5420,300000,000000,PROV. GORONTALO,1,GORONTALO
4975,290000,000000,PROV. KEPULAUAN BANGKA BELITUNG,1,KEPULAUAN BANGKA BELITUNG
3266,280000,000000,PROV. BANTEN,1,BANTEN
1948,270000,000000,PROV. MALUKU UTARA,1,MALUKU UTARA
264,260000,000000,PROV. BENGKULU,1,BENGKULU
